,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Date,Time
515,18.254,89.11,13.62,2016-11-24,17:57:43
516,20.47,92.62,13.49,2016-11-24,17:58:13
517,21.694,92.61,13.62,2016-11-24,17:58:42
518,20.484,91.00,14.44,2016-11-24,17:59:12
519,23.434,91.51,14.11,2016-11-24,17:59:43
520,24.961,88.51,8.5,2016-11-24,18:00:13
521,20.062,91.08,13.9,2016-11-24,18:00:44
522,17.464,88.37,14.46,2016-11-24,18:01:14
523,20.219,90.26,14.0,2016-11-24,18:01:45
524,18.363,92.06,14.55,2016-11-24,18:02:15
525,21.175,92.59,14.46,2016-11-24,18:02:45
526,19.994,91.78,14.27,2016-11-24,18:03:14
527,26.073,90.23,14.42,2016-11-24,18:03:44
528,21.29,83.78,14.44,2016-11-24,18:04:14
529,19.106,91.87,14.05,2016-11-24,18:04:44
530,19.948,91.99,14.21,2016-11-24,18:05:14
531,19.766,92.00,14.21,2016-11-24,18:05:43
532,20.605,90.61,14.06,2016-11-24,18:06:13
533,20.542,92.51,14.13,2016-11-24,18:06:43
534,20.061,92.09,9.55,2016-11-24,18:07:13
535,19.83,88.75,14.18,2016-11-24,18:07:44
536,22.949,87.02,13.98,2016-11-24,18:08:14
537,22.737,90.10,14.12,2016-11-24,18:08:46
538,19.155,92.51,14.19,2016-11-24,18:09:16
539,19.435,92.37,14.12,2016-11-24,18:09:46
540,19.733,90.16,14.45,2016-11-24,18:10:16
541,21.347,90.80,14.13,2016-11-24,18:10:46
542,21.858,91.46,14.5,2016-11-24,18:11:16
543,18.934,90.05,14.34,2016-11-24,18:11:45
544,18.917,85.75,14.23,2016-11-24,18:12:15
545,20.914,90.17,13.97,2016-11-24,18:12:45
546,26.676,89.66,13.9,2016-11-24,18:13:15
547,24.697,88.20,13.48,2016-11-24,18:13:45
548,18.138,90.84,8.51,2016-11-24,18:14:19
549,21.394,89.07,13.85,2016-11-24,18:14:50
550,19.796,91.62,13.98,2016-11-24,18:15:20
551,21.959,90.22,13.53,2016-11-24,18:15:50
552,20.708,90.85,13.75,2016-11-24,18:16:20
553,17.668,87.63,14.33,2016-11-24,18:16:49
554,24.898,91.07,8.15,2016-11-24,18:17:19
555,52.332,89.89,8.28,2016-11-24,18:17:49
556,54.844,90.89,7.76,2016-11-24,18:18:20
557,55.587,88.34,13.47,2016-11-24,18:18:52
558,21.638,92.25,13.71,2016-11-24,18:19:23
559,20.036,90.63,13.74,2016-11-24,18:19:53
560,21.624,92.34,13.72,2016-11-24,18:20:24
561,23.16,91.43,13.7,2016-11-24,18:20:54
562,20.829,92.09,13.87,2016-11-24,18:21:24
563,19.457,91.65,14.29,2016-11-24,18:21:56
564,19.75,90.80,14.11,2016-11-24,18:22:27
565,23.035,88.22,14.17,2016-11-24,18:22:57
566,20.33,88.08,14.03,2016-11-24,18:23:26
567,17.697,90.32,13.5,2016-11-24,18:23:57
568,24.363,88.85,13.52,2016-11-24,18:24:27
569,23.473,91.72,13.84,2016-11-24,18:24:57
570,19.552,92.17,13.35,2016-11-24,18:25:30
571,19.129,91.12,13.94,2016-11-24,18:26:00
572,20.84,92.30,13.72,2016-11-24,18:26:30
573,18.903,91.06,13.85,2016-11-24,18:27:01
574,20.691,75.65,13.77,2016-11-24,18:27:32
575,21.206,91.19,13.54,2016-11-24,18:28:05
576,18.649,87.30,13.88,2016-11-24,18:28:35
577,23.095,87.85,14.21,2016-11-24,18:29:05
578,20.65,91.59,14.53,2016-11-24,18:29:36
579,19.947,90.54,13.96,2016-11-24,18:30:06
580,18.595,91.62,13.65,2016-11-24,18:30:36
581,21.49,86.26,13.3,2016-11-24,18:31:06
582,18.449,91.11,13.73,2016-11-24,18:31:36
583,19.274,92.06,13.6,2016-11-24,18:32:07
584,16.611,90.97,13.47,2016-11-24,18:32:37
585,18.003,87.67,13.65,2016-11-24,18:33:09
586,17.738,91.67,13.88,2016-11-24,18:33:40
587,21.001,85.65,14.07,2016-11-24,18:34:10
588,19.207,91.38,14.08,2016-11-24,18:34:40
589,21.836,84.74,13.43,2016-11-24,18:35:11
590,23.799,91.17,14.31,2016-11-24,18:35:43
591,17.687,85.12,13.66,2016-11-24,18:36:13
592,20.074,88.97,9.21,2016-11-24,18:36:44
593,20.535,86.61,13.72,2016-11-24,18:37:14
594,18.617,86.74,13.73,2016-11-24,18:37:44
595,20.704,91.53,14.02,2016-11-24,18:38:14
596,18.259,91.77,13.87,2016-11-24,18:38:44
597,19.609,90.42,14.09,2016-11-24,18:39:15
598,19.064,91.16,14.28,2016-11-24,18:39:45
599,20.253,90.34,13.77,2016-11-24,18:40:15
600,22.819,89.17,14.23,2016-11-24,18:40:46
601,18.038,90.27,14.54,2016-11-24,18:41:17
602,20.787,90.94,14.22,2016-11-24,18:41:47
603,20.604,90.68,14.26,2016-11-24,18:42:17
604,20.905,88.65,14.17,2016-11-24,18:42:47
605,19.762,89.09,14.15,2016-11-24,18:43:17
606,17.83,87.93,14.08,2016-11-24,18:43:48
607,19.706,89.89,13.87,2016-11-24,18:44:18
608,21.97,87.76,14.36,2016-11-24,18:44:49
609,19.446,83.81,14.18,2016-11-24,18:45:26
610,18.065,87.74,14.24,2016-11-24,18:45:57
611,22.022,91.16,14.47,2016-11-24,18:46:27
612,19.623,91.36,14.14,2016-11-24,18:46:58
613,18.705,91.84,14.18,2016-11-24,18:47:28
614,19.648,89.52,14.0,2016-11-24,18:47:59
615,24.782,90.41,13.77,2016-11-24,18:48:29
616,24.226,91.38,13.88,2016-11-24,18:49:00
617,27.692,88.79,13.81,2016-11-24,18:49:30
618,19.714,89.90,13.86,2016-11-24,18:50:00
619,18.517,92.04,13.86,2016-11-24,18:50:31
620,23.322,88.28,13.99,2016-11-24,18:51:02
621,21.479,90.05,14.07,2016-11-24,18:51:32
622,18.426,90.41,14.15,2016-11-24,18:52:02
623,19.131,88.83,14.12,2016-11-24,18:52:32
624,20.171,91.04,14.14,2016-11-24,18:53:02
625,17.712,88.23,14.01,2016-11-24,18:53:33
626,21.089,90.16,14.19,2016-11-24,18:54:04
627,18.271,90.66,14.32,2016-11-24,18:54:34
628,16.716,90.79,14.43,2016-11-24,18:55:05
629,20.406,88.83,14.22,2016-11-24,18:55:35
630,20.012,85.89,14.24,2016-11-24,18:56:06
631,22.776,86.71,14.35,2016-11-24,18:56:36
632,21.437,88.80,13.91,2016-11-24,18:57:06
633,23.221,83.11,13.41,2016-11-24,18:57:37
634,20.229,91.04,13.89,2016-11-24,18:58:08
635,20.237,91.33,14.02,2016-11-24,18:58:39
636,20.431,89.15,14.08,2016-11-24,18:59:10
637,18.71,87.93,14.19,2016-11-24,18:59:40
638,22.444,79.42,6.87,2016-11-24,19:00:11
639,22.17,89.62,14.48,2016-11-24,19:00:43
640,20.748,85.52,14.06,2016-11-24,19:01:14
641,22.259,90.30,13.86,2016-11-24,19:01:45
642,18.607,84.59,13.5,2016-11-24,19:02:15
643,19.104,87.31,13.99,2016-11-24,19:02:46
644,17.316,84.72,14.28,2016-11-24,19:03:16
645,19.767,86.30,13.83,2016-11-24,19:03:45
646,19.404,87.10,13.57,2016-11-24,19:04:16
647,18.202,89.59,14.21,2016-11-24,19:04:46
648,21.895,84.36,14.02,2016-11-24,19:05:17
649,19.598,87.46,14.25,2016-11-24,19:05:48
650,19.052,88.81,13.55,2016-11-24,19:06:18
651,17.349,75.29,14.39,2016-11-24,19:06:48
652,21.164,84.18,14.12,2016-11-24,19:07:19
653,19.757,88.41,13.95,2016-11-24,19:07:49
654,21.59,83.09,13.79,2016-11-24,19:08:20
655,17.428,83.86,13.99,2016-11-24,19:08:51
656,23.409,87.00,12.6,2016-11-24,19:09:20
657,18.122,88.76,14.41,2016-11-24,19:09:51
658,18.846,90.67,13.83,2016-11-24,19:10:21
659,22.126,86.04,14.22,2016-11-24,19:10:55
660,19.223,87.12,12.16,2016-11-24,19:11:26
661,21.667,85.63,14.35,2016-11-24,19:11:58
662,19.038,88.73,14.4,2016-11-24,19:12:28
663,21.831,84.15,14.43,2016-11-24,19:12:58
664,18.812,89.00,14.16,2016-11-24,19:13:29
665,18.158,86.30,14.13,2016-11-24,19:14:00
666,21.874,86.07,13.94,2016-11-24,19:14:30
667,23.073,83.97,14.18,2016-11-24,19:15:01
668,20.952,88.67,14.35,2016-11-24,19:15:32
669,19.397,84.86,14.35,2016-11-24,19:16:04
670,20.117,84.99,14.33,2016-11-24,19:16:34
671,17.995,86.21,6.88,2016-11-24,19:17:04
672,retrieve,2016-11-24 19:17:45,,,
673,,,,,
674,retrieve,2016-11-24 19:18:00,,,
675,retrieve,2016-11-24 19:18:03,,,
676,retrieve,2016-11-24 19:18:06,,,
677,retrieve,2016-11-24 19:18:10,,,
678,retrieve,2016-11-24 19:18:13,,,
679,22.175,85.69,14.23,2016-11-24,19:18:16
