Upload (Mbit/s),Date,Time,Ping (ms),Download (Mbit/s)
13.47,2016-11-24,18:18:52,55.587,88.34
13.71,2016-11-24,18:19:23,21.638,92.25
13.74,2016-11-24,18:19:53,20.036,90.63
13.72,2016-11-24,18:20:24,21.624,92.34
13.7,2016-11-24,18:20:54,23.16,91.43
13.87,2016-11-24,18:21:24,20.829,92.09
14.29,2016-11-24,18:21:56,19.457,91.65
14.11,2016-11-24,18:22:27,19.75,90.8
14.17,2016-11-24,18:22:57,23.035,88.22
14.03,2016-11-24,18:23:26,20.33,88.08
13.5,2016-11-24,18:23:57,17.697,90.32
13.52,2016-11-24,18:24:27,24.363,88.85
13.84,2016-11-24,18:24:57,23.473,91.72
13.35,2016-11-24,18:25:30,19.552,92.17
13.94,2016-11-24,18:26:00,19.129,91.12
13.72,2016-11-24,18:26:30,20.84,92.3
13.85,2016-11-24,18:27:01,18.903,91.06
13.77,2016-11-24,18:27:32,20.691,75.65
13.54,2016-11-24,18:28:05,21.206,91.19
13.88,2016-11-24,18:28:35,18.649,87.3
14.21,2016-11-24,18:29:05,23.095,87.85
14.53,2016-11-24,18:29:36,20.65,91.59
13.96,2016-11-24,18:30:06,19.947,90.54
13.65,2016-11-24,18:30:36,18.595,91.62
13.3,2016-11-24,18:31:06,21.49,86.26
13.73,2016-11-24,18:31:36,18.449,91.11
13.6,2016-11-24,18:32:07,19.274,92.06
13.47,2016-11-24,18:32:37,16.611,90.97
13.65,2016-11-24,18:33:09,18.003,87.67
13.88,2016-11-24,18:33:40,17.738,91.67
14.07,2016-11-24,18:34:10,21.001,85.65
14.08,2016-11-24,18:34:40,19.207,91.38
13.43,2016-11-24,18:35:11,21.836,84.74
14.31,2016-11-24,18:35:43,23.799,91.17
13.66,2016-11-24,18:36:13,17.687,85.12
9.21,2016-11-24,18:36:44,20.074,88.97
13.72,2016-11-24,18:37:14,20.535,86.61
13.73,2016-11-24,18:37:44,18.617,86.74
14.02,2016-11-24,18:38:14,20.704,91.53
13.87,2016-11-24,18:38:44,18.259,91.77
14.09,2016-11-24,18:39:15,19.609,90.42
14.28,2016-11-24,18:39:45,19.064,91.16
13.77,2016-11-24,18:40:15,20.253,90.34
14.23,2016-11-24,18:40:46,22.819,89.17
14.54,2016-11-24,18:41:17,18.038,90.27
14.22,2016-11-24,18:41:47,20.787,90.94
14.26,2016-11-24,18:42:17,20.604,90.68
14.17,2016-11-24,18:42:47,20.905,88.65
14.15,2016-11-24,18:43:17,19.762,89.09
14.08,2016-11-24,18:43:48,17.83,87.93
13.87,2016-11-24,18:44:18,19.706,89.89
14.36,2016-11-24,18:44:49,21.97,87.76
14.18,2016-11-24,18:45:26,19.446,83.81
14.24,2016-11-24,18:45:57,18.065,87.74
14.47,2016-11-24,18:46:27,22.022,91.16
14.14,2016-11-24,18:46:58,19.623,91.36
14.18,2016-11-24,18:47:28,18.705,91.84
14.0,2016-11-24,18:47:59,19.648,89.52
13.77,2016-11-24,18:48:29,24.782,90.41
13.88,2016-11-24,18:49:00,24.226,91.38
13.81,2016-11-24,18:49:30,27.692,88.79
13.86,2016-11-24,18:50:00,19.714,89.9
13.86,2016-11-24,18:50:31,18.517,92.04
13.99,2016-11-24,18:51:02,23.322,88.28
14.07,2016-11-24,18:51:32,21.479,90.05
14.15,2016-11-24,18:52:02,18.426,90.41
14.12,2016-11-24,18:52:32,19.131,88.83
14.14,2016-11-24,18:53:02,20.171,91.04
14.01,2016-11-24,18:53:33,17.712,88.23
14.19,2016-11-24,18:54:04,21.089,90.16
14.32,2016-11-24,18:54:34,18.271,90.66
14.43,2016-11-24,18:55:05,16.716,90.79
14.22,2016-11-24,18:55:35,20.406,88.83
14.24,2016-11-24,18:56:06,20.012,85.89
14.35,2016-11-24,18:56:36,22.776,86.71
13.91,2016-11-24,18:57:06,21.437,88.8
13.41,2016-11-24,18:57:37,23.221,83.11
13.89,2016-11-24,18:58:08,20.229,91.04
14.02,2016-11-24,18:58:39,20.237,91.33
14.08,2016-11-24,18:59:10,20.431,89.15
14.19,2016-11-24,18:59:40,18.71,87.93
6.87,2016-11-24,19:00:11,22.444,79.42
14.48,2016-11-24,19:00:43,22.17,89.62
14.06,2016-11-24,19:01:14,20.748,85.52
13.86,2016-11-24,19:01:45,22.259,90.3
13.5,2016-11-24,19:02:15,18.607,84.59
13.99,2016-11-24,19:02:46,19.104,87.31
14.28,2016-11-24,19:03:16,17.316,84.72
13.83,2016-11-24,19:03:45,19.767,86.3
13.57,2016-11-24,19:04:16,19.404,87.1
14.21,2016-11-24,19:04:46,18.202,89.59
14.02,2016-11-24,19:05:17,21.895,84.36
14.25,2016-11-24,19:05:48,19.598,87.46
13.55,2016-11-24,19:06:18,19.052,88.81
14.39,2016-11-24,19:06:48,17.349,75.29
14.12,2016-11-24,19:07:19,21.164,84.18
13.95,2016-11-24,19:07:49,19.757,88.41
13.79,2016-11-24,19:08:20,21.59,83.09
13.99,2016-11-24,19:08:51,17.428,83.86
12.6,2016-11-24,19:09:20,23.409,87.0
14.41,2016-11-24,19:09:51,18.122,88.76
13.83,2016-11-24,19:10:21,18.846,90.67
14.22,2016-11-24,19:10:55,22.126,86.04
12.16,2016-11-24,19:11:26,19.223,87.12
14.35,2016-11-24,19:11:58,21.667,85.63
14.4,2016-11-24,19:12:28,19.038,88.73
14.43,2016-11-24,19:12:58,21.831,84.15
14.16,2016-11-24,19:13:29,18.812,89.0
14.13,2016-11-24,19:14:00,18.158,86.3
13.94,2016-11-24,19:14:30,21.874,86.07
14.18,2016-11-24,19:15:01,23.073,83.97
14.35,2016-11-24,19:15:32,20.952,88.67
14.35,2016-11-24,19:16:04,19.397,84.86
14.33,2016-11-24,19:16:34,20.117,84.99
6.88,2016-11-24,19:17:04,17.995,86.21
14.23,2016-11-24,19:18:16,22.175,85.69
